Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin,Weight_in_kg,Liters_per_100km,Kilometers
chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,1970,USA,1589.38766448,13.067476833333334,28.96812
buick skylark 320,15.0,8,350.0,165.0,3693,11.5,1970,USA,1675.11662241,15.680972200000001,24.1401
plymouth satellite,18.0,8,318.0,150.0,3436,11.0,1970,USA,1558.54338332,13.067476833333334,28.96812
amc rebel sst,16.0,8,304.0,150.0,3433,12.0,1970,USA,1557.1826062100001,14.7009114375,25.74944
ford torino,17.0,8,302.0,140.0,3449,10.5,1970,USA,1564.44008413,13.836151941176471,27.35878
ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,1970,USA,1969.04447817,15.680972200000001,24.1401
chevrolet impala,14.0,8,454.0,220.0,4354,9.0,1970,USA,1974.9411789800001,16.801041642857143,22.53076
plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,1970,USA,1955.89029944,16.801041642857143,22.53076
pontiac catalina,14.0,8,455.0,225.0,4425,10.0,1970,USA,2007.14623725,16.801041642857143,22.53076
amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,1970,USA,1746.3306245,15.680972200000001,24.1401
citroen ds-21 pallas,,4,133.0,115.0,3090,17.5,1970,Europe,1401.6004233,,
chevrolet chevelle concours (sw),,8,350.0,165.0,4142,11.5,1970,USA,1878.77959654,,
ford torino (sw),,8,351.0,153.0,4034,11.0,1970,USA,1829.7916205800002,,
plymouth satellite (sw),,8,383.0,175.0,4166,10.5,1970,USA,1889.6658134200002,,
amc rebel sst (sw),,8,360.0,175.0,3850,11.0,1970,USA,1746.3306245,,
dodge challenger se,15.0,8,383.0,170.0,3563,10.0,1970,USA,1616.14961431,15.680972200000001,24.1401
plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,1970,USA,1637.01486333,16.801041642857143,22.53076
ford mustang boss 302,,8,302.0,140.0,3353,8.0,1970,USA,1520.89521661,,
chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,1970,USA,1705.96090357,15.680972200000001,24.1401
buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,1970,USA,1399.78605382,16.801041642857143,22.53076
toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,1970,Japan,1075.92110164,9.800607625,38.62416
plymouth duster,22.0,6,198.0,95.0,2833,15.5,1970,USA,1285.02718421,10.691571954545454,35.40548
amc hornet,18.0,6,199.0,97.0,2774,15.5,1970,USA,1258.26523438,13.067476833333334,28.96812
ford maverick,21.0,6,200.0,85.0,2587,16.0,1970,USA,1173.44346119,11.20069442857143,33.79614
datsun pl510,27.0,4,97.0,88.0,2130,14.5,1970,Japan,966.1517481000001,8.711651222222223,43.45218
volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,1970,Europe,832.3419989500001,9.046714730769231,41.84284
peugeot 504,25.0,4,110.0,87.0,2672,17.5,1970,Europe,1211.99881264,9.40858332,40.2335
audi 100 ls,24.0,4,107.0,90.0,2430,14.5,1970,Europe,1102.2294591,9.800607625,38.62416
saab 99e,25.0,4,104.0,95.0,2375,17.5,1970,Europe,1077.28187875,9.40858332,40.2335
bmw 2002,26.0,4,121.0,113.0,2234,12.5,1970,Europe,1013.3253545800001,9.046714730769231,41.84284
amc gremlin,21.0,6,199.0,90.0,2648,15.0,1970,USA,1201.11259576,11.20069442857143,33.79614
ford f250,10.0,8,360.0,215.0,4615,14.0,1970,USA,2093.32878755,23.5214583,16.0934
chevy c20,10.0,8,307.0,200.0,4376,15.0,1970,USA,1984.9202111200002,23.5214583,16.0934
dodge d200,11.0,8,318.0,210.0,4382,13.5,1970,USA,1987.6417653400001,21.383143909090908,17.70274
hi 1200d,9.0,8,304.0,193.0,4732,18.5,1970,USA,2146.39909484,26.134953666666668,14.48406
datsun pl510,27.0,4,97.0,88.0,2130,14.5,1971,Japan,966.1517481000001,8.711651222222223,43.45218
chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,1971,USA,1026.93312568,8.400520821428572,45.06152
toyota corona,25.0,4,113.0,95.0,2228,14.0,1971,Japan,1010.60380036,9.40858332,40.2335
ford pinto,25.0,4,98.0,,2046,19.0,1971,USA,928.04998902,9.40858332,40.2335
volkswagen super beetle 117,,4,97.0,48.0,1978,20.0,1971,Europe,897.2057078600001,,
amc gremlin,19.0,6,232.0,100.0,2634,13.0,1971,USA,1194.76230258,12.379714894736843,30.57746
plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,1971,USA,1559.90416043,14.7009114375,25.74944
chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,1971,USA,1510.0089997300001,13.836151941176471,27.35878
ford torino 500,19.0,6,250.0,88.0,3302,15.5,1971,USA,1497.7620057400002,12.379714894736843,30.57746
amc matador,18.0,6,232.0,100.0,3288,15.5,1971,USA,1491.41171256,13.067476833333334,28.96812
chevrolet impala,14.0,8,350.0,165.0,4209,12.0,1971,USA,1909.17028533,16.801041642857143,22.53076
pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,1971,USA,2024.83633968,16.801041642857143,22.53076
ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,1971,USA,1884.2227049800001,16.801041642857143,22.53076
plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,1971,USA,1857.91434752,16.801041642857143,22.53076
dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,1971,USA,2247.55019335,19.60121525,19.31208
ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,1971,USA,2152.74938802,18.093429461538463,20.92142
pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,1971,USA,2331.4647818000003,18.093429461538463,20.92142
amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,1971,USA,1343.54059994,13.067476833333334,28.96812
chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,1971,USA,1092.2504269600001,10.691571954545454,35.40548
pontiac firebird,19.0,6,250.0,100.0,3282,15.0,1971,USA,1488.6901583400002,12.379714894736843,30.57746
ford mustang,18.0,6,250.0,88.0,3139,14.5,1971,USA,1423.8264494300001,13.067476833333334,28.96812
mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,1971,USA,1006.9750614000001,10.226721,37.01482
opel 1900,28.0,4,116.0,90.0,2123,14.0,1971,Europe,962.97660151,8.400520821428572,45.06152
peugeot 304,30.0,4,79.0,70.0,2074,19.5,1971,Europe,940.7505753800001,7.840486100000001,48.2802
fiat 124b,30.0,4,88.0,76.0,2065,14.5,1971,Europe,936.66824405,7.840486100000001,48.2802
toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,1971,Japan,804.21927201,7.587567193548387,49.88954
datsun 1200,35.0,4,72.0,69.0,1613,18.0,1971,Japan,731.6444928100001,6.720416657142858,56.3269
volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,1971,Europe,831.88840658,8.711651222222223,43.45218
plymouth cricket,26.0,4,91.0,70.0,1955,20.5,1971,USA,886.7730833500001,9.046714730769231,41.84284
toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,1972,Japan,1033.28341886,9.800607625,38.62416
dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,1972,USA,964.3373786200001,9.40858332,40.2335
volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,1972,Europe,1022.3972019800001,10.226721,37.01482
chevrolet vega,20.0,4,140.0,90.0,2408,19.5,1972,USA,1092.2504269600001,11.76072915,32.1868
ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,1972,USA,1009.6966156200001,11.20069442857143,33.79614
chevrolet impala,13.0,8,350.0,165.0,4274,12.0,1972,USA,1938.65378938,18.093429461538463,20.92142
pontiac catalina,14.0,8,400.0,175.0,4385,12.0,1972,USA,1989.0025424500002,16.801041642857143,22.53076
plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,1972,USA,1875.6044499500001,15.680972200000001,24.1401
ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,1972,USA,1872.8828957300002,16.801041642857143,22.53076
amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,1972,USA,1665.5911826400002,13.836151941176471,27.35878
mercury marquis,11.0,8,429.0,208.0,4633,11.0,1972,USA,2101.49345021,21.383143909090908,17.70274
buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,1972,USA,2042.07284974,18.093429461538463,20.92142
oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,1972,USA,2021.20760072,19.60121525,19.31208
chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,1972,USA,2005.7854601400002,18.093429461538463,20.92142
mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,1972,Japan,1056.8702221,12.379714894736843,30.57746
amc matador (sw),15.0,8,304.0,150.0,3892,12.5,1972,USA,1765.38150404,15.680972200000001,24.1401
chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,1972,USA,1858.8215322600001,18.093429461538463,20.92142
ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,1972,USA,1947.72563678,18.093429461538463,20.92142
plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,1972,USA,1849.29609249,16.801041642857143,22.53076
volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,1972,Europe,1330.38642121,13.067476833333334,28.96812
volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,1972,Europe,1138.97044107,10.691571954545454,35.40548
peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,1972,Europe,1351.2516702300002,11.20069442857143,33.79614
renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,1972,Europe,992.91369793,9.046714730769231,41.84284
ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,1972,USA,1086.35372615,10.691571954545454,35.40548
datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,1972,Japan,1037.81934256,8.400520821428572,45.06152
toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,1972,Japan,1136.70247922,10.226721,37.01482
dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,1972,USA,981.5738886800001,8.400520821428572,45.06152
toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,1972,Japan,952.543977,8.711651222222223,43.45218
buick century 350,13.0,8,350.0,175.0,4100,13.0,1973,USA,1859.7287170000002,18.093429461538463,20.92142
amc matador,14.0,8,304.0,150.0,3672,11.5,1973,USA,1665.5911826400002,16.801041642857143,22.53076
chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,1973,USA,1808.92637156,18.093429461538463,20.92142
ford gran torino,14.0,8,302.0,137.0,4042,14.5,1973,USA,1833.4203595400002,16.801041642857143,22.53076
dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,1973,USA,1713.2183814900002,15.680972200000001,24.1401
mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,1973,USA,2246.18941624,19.60121525,19.31208
chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,1973,USA,2024.83633968,18.093429461538463,20.92142
ford ltd,13.0,8,351.0,158.0,4363,13.0,1973,USA,1979.0235103100001,18.093429461538463,20.92142
plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,1973,USA,1921.87087169,16.801041642857143,22.53076
chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,1973,USA,2147.75987195,18.093429461538463,20.92142
buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,1973,USA,2245.7358238700003,19.60121525,19.31208
amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,1973,USA,1733.17644577,18.093429461538463,20.92142
plymouth valiant,18.0,6,225.0,105.0,3121,16.5,1973,USA,1415.6617867700002,13.067476833333334,28.96812
chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,1973,USA,1486.87578886,14.7009114375,25.74944
amc hornet,18.0,6,232.0,100.0,2945,16.0,1973,USA,1335.82952965,13.067476833333334,28.96812
ford maverick,18.0,6,250.0,88.0,3021,16.5,1973,USA,1370.30254977,13.067476833333334,28.96812
plymouth duster,23.0,6,198.0,95.0,2904,16.0,1973,USA,1317.23224248,10.226721,37.01482
volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,1973,Europe,884.5051215000001,9.046714730769231,41.84284
chevrolet impala,11.0,8,400.0,150.0,4997,14.0,1973,USA,2266.60107289,21.383143909090908,17.70274
ford country,12.0,8,400.0,167.0,4906,12.5,1973,USA,2225.32416722,19.60121525,19.31208
plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,1973,USA,2111.01888998,18.093429461538463,20.92142
oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,1973,USA,2040.7120726300002,19.60121525,19.31208
amc gremlin,18.0,6,232.0,100.0,2789,15.0,1973,USA,1265.0691199300002,13.067476833333334,28.96812
toyota carina,20.0,4,97.0,88.0,2279,19.0,1973,Japan,1033.73701123,11.76072915,32.1868
chevrolet vega,21.0,4,140.0,72.0,2401,19.5,1973,USA,1089.07528037,11.20069442857143,33.79614
datsun 610,22.0,4,108.0,94.0,2379,16.5,1973,Japan,1079.0962482300001,10.691571954545454,35.40548
maxda rx3,18.0,3,70.0,90.0,2124,13.5,1973,Japan,963.43019388,13.067476833333334,28.96812
ford pinto,19.0,4,122.0,85.0,2310,18.5,1973,USA,1047.7983747,12.379714894736843,30.57746
mercury capri v6,21.0,6,155.0,107.0,2472,14.0,1973,USA,1121.28033864,11.20069442857143,33.79614
fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,1973,Europe,1027.3867180500001,9.046714730769231,41.84284
chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,1973,USA,1851.56405434,15.680972200000001,24.1401
pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,1973,USA,1940.4681588600001,14.7009114375,25.74944
fiat 128,29.0,4,68.0,49.0,1867,19.5,1973,Europe,846.85695479,8.110847689655172,46.67086
